"fa","en"
"خبرنگار حوزه کارگری ایلنا","Ilana labor reporter"
"خبرنگار خبرگزاری ایرنا","Reporter of IRNA news agency"
"خبرنگار صداوسیما","IRIB reporter"
"خبرنگار کارگری","Labor reporter"
"خلبان هواپیمایی ایران ایر","Pilot of Iran Air"
"خوانند رپ- اکباتان","Rap singer - Ekbatan"
"خواننده اهل کرمانشاه و آهنگساز","Singer from Kermanshah and composer"
"خواننده رپ","Rapper"
"خواننده سرود برای","Singer of Baraie"
"خواننده لر","Lorish singer"
"خواننده ماکان بند","Makan band singer"
"خواننده هیپ هاپ","Hip-hop singer"
"خواهر نوید افکاری","Navid Afkaari's sister"
"خودکشی پس از آزادی","Suicide after release"
"دارای معلولیت از ناحیه دست راست","Has a disability in the right hand"
"دانش آموخته جغرفیای سیاسی","Graduated in political geography"
"دانش آموز","Student"
"دانش آموز ۱۵ ساله","15-year-old student"
"دانش آموز مدرسه پژوهش","Pajouhesh school student"
"دانش‌آموخته‌ی رشته‌ی فرش دانشگاه هنر تهران و کارشناس دادگستری","Graduated from the field of carpets at Tehran University of Art and a judicial expert"
"دانش‌آموز ۱۶ سال","16-year-old student"
"دانش‌آموز ۱۷ ساله","17-year-old student"
"دانشجوی رشته مهندسی صنایع دانشگاه کردستان","Industrial engineering student of Kurdistan University"
"دانشجوی علوم پزشکی کردستان","Kurdistan medical science student"
"دانشکده داروسازی دانشگاه علوم پزشکی تهران","Faculty of Pharmacy, Tehran University of Medical Sciences"
"دانشکده فنی دخترانه سنندج","Sanandaj Girls' Technical College"
"دانشگاه آزاد آبادان","Abadan Azad University"
"دانشگاه آزاد آمل","Amol Azad University"
"دانشگاه آزاد اسلامشهر","Islamshahr Azad University"
"دانشگاه آزاد اسلامی ایرانشهر","Iranshahr Islamic Azad University"
"دانشگاه آزاد اسلامی واحد رشت","Islamic Azad University, Rasht branch"
"دانشگاه آزاد اهواز","Ahvaz Azad University"
"دانشگاه آزاد تالشان رشت","Azad University of Taleshan, Rasht"
"دانشگاه آزاد تبریز","Tabriz Azad University"
"دانشگاه آزاد تهران پونک","Azad University Ponak, Tehran"
"دانشگاه آزاد تهران شمال","Azad University, North Tehran Branch"
"دانشگاه آزاد تهران مرکز","Central Tehran Azad University"
"دانشگاه آزاد تهران واحد سوهانک","Tehran Azad University, Sohank branch"
"دانشگاه آزاد تهران واحد علوم تحقیقات","Azad University of Tehran, Department of Research Sciences"
"دانشگاه آزاد چابهار","Chabahar Azad University"
"دانشگاه آزاد خرم‌آباد","Khorramabad Azad University"
"دانشگاه آزاد خوراسگان اصفهان","Azad University of Khorasgan, Isfahan"
"دانشگاه آزاد شهر قدس","Azad University of Qods"
"دانشگاه آزاد شیراز","Shiraz Azad University"
"دانشگاه آزاد قائمشهر","Qaemshahr Azad University"
"دانشگاه آزاد کرج","Karaj Azad University"
"دانشگاه آزاد مشهد","Mashhad Azad University"
"دانشگاه آزاد همدان","Hamedan Azad University"
"دانشگاه آزاد واحد تهران جنوب","Azad University, South Tehran branch"
"دانشگاه آزاد یاسوج","Yasuj Azad University"
"دانشگاه اراک","Arak University"
"دانشگاه اردكان","Ardakan University"
"دانشگاه ارومیه","Urmia University"
"دانشگاه اصفهان","University of Esfahan"
"دانشگاه اقبال مشهد","Iqbal University of Mashhad"
"دانشگاه الزهرا","Al-Zahra University"
"دانشگاه الزهرا بابل","Alzahra University of Babol"
"دانشگاه امام صادق","Imam Sadiq University"
"دانشگاه ایلام","Ilam University"
"دانشگاه باهنر شیراز","Bahonar University, Shiraz"
"دانشگاه باهنر کرمان","Bahnar University of Kerman"
"دانشگاه بوعلی‌ سینا همدان","Bo Ali Sina University, Hamedan"
"دانشگاه بیرجند","Birjand University"
"دانشگاه بین‌المللی قزوین","Qazvin International University"
"دانشگاه پلی‌تکنیک","Polytechnic University"
"دانشگاه پيام نور شميرانات","Payam Noor Shemiranat University"
"دانشگاه پیام نور","Payam Noor university"
"دانشگاه پیام نور شهر قدس","Payam Noor University of Quds"
"دانشگاه پیام نور قزوین","Payam Nur University of Qazvin"
"دانشگاه پیام نور مریوان","Payam Noor University of Marivan"
"دانشگاه پیام‌نور سنندج","Payamnoor University, Sanandaj"
"دانشگاه تبریز","Tabriz University"
"دانشگاه تربیت مدرس","Trabiat Modares University"
"دانشگاه تربیت معلم رجایی تهران","Tarbiat Moalem Rajaei University of Tehran"
"دانشگاه تهران","Tehran University"
"دانشگاه تهران پردیس فومن","University of Tehran, Fuman Campus"
"دانشگاه تهران مرکز سوهانک","University of Tehran, Sohank Center"
"دانشگاه جندی شاپور","Jundishapur University"
"دانشگاه چمران","Chamran University"
"دانشگاه چمران اهواز","Chamran University of Ahvaz"
"دانشگاه خلیج فارس","Persian Gulf University"
"دانشگاه خواجه نصیر","Khawaja Nasir University"
"دانشگاه خوارزمی","Khwarazmi University"
"دانشگاه خیام مشهد","Khayyam University of Mashhad"
"دانشگاه دندان‌پزشکی ساری","Sari Dental University"
"دانشگاه رازی کرمانشاه","Razi University of Kermanshah"
"دانشگاه زاهدان","Zahedan University"
"دانشگاه زنجان","University of Zanjan"
"دانشگاه زند شیراز","Zand University, Shiraz"
"دانشگاه ساری","University of Sari"
"دانشگاه ساوه","Saveh University"
"دانشگاه سبزوار","Sabzevar University"
"دانشگاه سروش","Soroush University"
"دانشگاه سمنان","Semnan University"
"دانشگاه سنندج","Sanandaj University"
"دانشگاه سهند تبریز","Sahand University of Tabriz"
"دانشگاه سوره","Surah University"
"دانشگاه سوره - زندان کچویی","Sourah University - Kechui Prison"
"دانشگاه سیستان و بلوچستان","University of Sistan and Baluchestan"
"دانشگاه شاهرود","Shahrood University"
"دانشگاه شهید بهشتی","Shahid Beheshti University"
"دانشگاه شهید مدنی تبریز","Shahid Madani University of Tabriz"
"دانشگاه شیراز","Shiraz university"
"دانشگاه صدوقی","Saduqi University"
"دانشگاه صنعتی اصفهان","Isfahan University of Technology"
"دانشگاه صنعتی سجاد مشهد","Sajjad Mashhad University of Technology"
"دانشگاه صنعتی سهند","Sahand University of Technology"
"دانشگاه صنعتی شاهرود","Shahroud University of Technology"
"دانشگاه صنعتی شریف","Sharif University of Technology"
"دانشگاه علامه طباطبایی","Allameh Tabatabaei University"
"دانشگاه علم و صنعت","University of Science and Industry"
"دانشگاه علم و فرهنگ","University of Knowledge and Culture"
"دانشگاه علمی کاربردی اهواز","Ahvaz University of Applied Sciences"
"دانشگاه علوم پزشکی ارومیه","Urmia University of Medical Sciences"
"دانشگاه علوم پزشکی اصفهان","Isfahan University of Medical Sciences"
"دانشگاه علوم پزشکی ایران","Iran University of Medical Sciences"
"دانشگاه علوم پزشکی بابل","Babol University of Medical Sciences"
"دانشگاه علوم پزشکی بیرجند","Birjand University of Medical Sciences"
"دانشگاه علوم پزشکی تبریز","Tabriz University of Medical Sciences"
"دانشگاه علوم پزشکی تهران","Tehran University of Medical Sciences"
"دانشگاه علوم پزشکی زاهدان","Zahedan University of Medical Sciences"
"دانشگاه علوم پزشکی زنجان","Zanjan University of Medical Sciences"
"دانشگاه علوم پزشکی شیراز","Shiraz university of medical sciences"
"دانشگاه علوم پزشکی کردستان","Kurdistan University of Medical Sciences"
"دانشگاه علوم پزشکی کرمان","Kerman University of Medical Sciences"
"دانشگاه علوم پزشکی گرگان","Gorgan University of Medical Sciences"
"دانشگاه علوم پزشکی یزد","Yazd University of Medical Sciences"
"دانشگاه علوم تحقیقات","University of scientific research"
"دانشگاه علوم توانبخشی و سلامت اجتماعی تهران","Tehran University of Rehabilitation Sciences and Social Health"
"دانشگاه علوم قضایی","University of Judicial Sciences"
"دانشگاه علوم و تحقیقات","University of Science and Research"
"دانشگاه فردوسی مشهد","Mashhad Ferdowsi University"
"دانشگاه فرهنگیان","Farhangiyan University"
"دانشگاه فنی حرفه ای دخترانه کرمانشاه","Kermanshah Technical Vocational University for Girls"
"دانشگاه فنی شمسی‌پور تهران","Shamsipour University of Technology, Tehran"
"دانشگاه قدسیه ساری","Qodsieh University of Sari"
"دانشگاه کردستان","The University of Kordestan"
"دانشگاه کشاورزی ساری","Sari Agricultural University"
"دانشگاه گرگان","Gorgan University"
"دانشگاه گرمسار","Garmsar University"
"دانشگاه گیلان","Gilan University"
"دانشگاه مازندران","Mazandaran University"
"دانشگاه معماری و هنر پارس","Pars University of Architecture and Art"
"دانشگاه مفید قم","Mofid University of Qom"
"دانشگاه مهاجر اصفهان","Mohajer University of Isfahan"
"دانشگاه نجف‌آباد","Najafabad University"
"دانشگاه نوشیروانی بابل","Noshirvani University of Babol"
"دانشگاه نیشابور","Neishabur University"
"دانشگاه هرمزگان","Hormozgan University"
"دانشگاه همدان","Hamedan University"
"دانشگاه هنر","Art university"
"دانشگاه هنر اسلامی تبریز","Islamic Art University of Tabriz"
"دانشگاه هنر تبریز","Tabriz University of Art"
"دانشگاه هنر تهران","Tehran University of Art"
"دانشگاه هنر سوهانک","Sohank University of Art"
"دانشگاه هنر و معماری پارس","Pars University of Art and Architecture"
"دانشگاه یاسوج","Yasouj University"
"دانشگاه یزد","Yazd University"
"دانشمند هوافضا و مخترع هوافضا","Aerospace scientist and inventor"
"دبیر تاریخ","History teacher"
"دبیر حزب کارگزاران استان بوشهر","Secretary of Kargozaran Party, Bushehr Province"
"دبیر ریاضی","Math teacher"
"دبیر ریاضی و از اعضای کانون معلمان خمینی شهر","Mathematics teacher and a member of the Khomeini Shahr's teachers association"
"دبیرستان جوشن","Joshan High School"
"دبیرکل کانون صنفی معلمان","Secretary General of Teachers Union"
"در بازار تهران دستگیر شده","Arrested in Tehran Bazar"
"در بازداشت کشته شد","He was killed in custody"
"در بیمارستان بستری است","He is in the hospital"
"در محوطه بازار دستگیر شد","He was arrested in the Tehran Bazar area"
"در نازی آباد دستگیر شده","Arrested in Naziabad"
"دراویش گنابادی","Gonabadi Darvish"
"دروازه‌بان سابق تیم استقلال تهران","Former goalkeeper of Esteghlal team of Tehran"
"درویش","Darvish"
"درویش یارسان","Darvish Yarsan"
"دستگیر شده در شهرک اکباتان- ۳۲ ساله","Arrested in Ekbatan - 32 years old"
"دستگیر شده در شهرک اکباتان- ۳۴ ساله","Arrested in Ekbatan - 34 years old"
"دستگیرشده در باغ سپهسالار تهران","Arrested in Sepehsalar Garden, Tehran"
"دستگیری در اکباتان","Arrest in Ekbatan"
"دکتر داروساز","Pharmacist"
"دندانپزشک","Dentist"
"دوست دختر بهنام لایق پور","Girlfriend of Behnam Laikpour"
"دیزل آباد کرمانشاه","Diesel Abad, Kermanshah"
"رئیس سازمان نظام پزشکی","Head of the medical system organization"
"رپر اجتماعی سیاسی","Social political rapper"
"رزیدنت زنان در بیمارستان  افضلی پور کرمان دستگیر شده","Gynecologist resident, was arrested in Afzalipur Hospital in Kerman"
"روانشناس","Psychologist"
"روانشناس بالینی واقع در کلینیک ترک اعتیاد","Clinical psychologist located in addiction treatment clinic"
"روانشناس و مدیر یک مرکز مشاوره","Psychologist and director of a counseling center"
"روحانی بلوچ","Baloch cleric"
"روحانی ترکمن","Turkmen cleric"
"روزنامه شرق","Shargh newspaper"
"روزنامه نگار و فعال کارگری","Journalist and labor activist"
"روستای دادانه کمانگر","Dadane Kamangar village"
"زخمی بازداشت شده است","The injured has been arrested"
"زندان","Prison"
"زندان اوین","Evin Prison"
"زندان بوشهر","Boushehr Prison"
"زندان تبریز","Tabriz Prison"
"زندان تهران بزرگ","Great Tehran Prison"
"زندان تیر کلا ساری","Tir Kalaa prison in Sari"
"زندان دولت آباد اصفهان","Daulat Abad Prison, Isfahan"
"زندان عادل آباد شیراز","Adil Abad Prison, Shiraz"
"زندان فشافویه","Fashafouyeh Prison"
"زندان قرچک","Gharchak Prison"
"زندان قزلحصار","Ghazalhasar prison"
"زندان کچویی","Kechui prison"
"زندان کچویی کرج","Kechui prison in Karaj"
"زندان گنبد کاووس","Gonbad-e-Kavus prison"
"زندان لار","Laar Prison"
"زندان لاکان","Lakan prison"
"زندان لاکان رشت","Lakan prison in Rasht"
"زندان مراغه","Maragheh Prison"
"زندان مرکزی تبریز","Tabriz Central Prison"
"زندان نوشهر","Nowshahr prison"
"زندان وکیل آباد","Vakil Abad prison"
"زندانی سیاسی سابق","Former political prisoner"
"ساکن تهران","A resident of Tehran"
"ساکن رشت بازداشت تهران","A resident of Rasht, detained in Tehran"
"سخنگوی شورای هماهنگی معلمان","Spokesperson of the Teachers Coordination Council"
"سردبیر نشریه تالش","Editor of Taalesh magazine"
"سنگ نورد- در زندان اوین","Rock climber - in Evin prison"
"سیستان و بلوچستان / ۱۷ آبان","Sistan and Baluchistan / November 08"
"سینماگر مستقل- زندان قرچک","Independent cinematographer - Qarchak prison"
"شاعر","Poet"
"شاعر نویسنده و عضو کانون نویسندگان ایران","Poet, writer and member of the Iranian Writers Association"
"شاعر و روزنامه نگار","Poet and Journalist"
"شاعر و عضو کانون نویسندگان","Poet and member of the Writers Association"
"شاعر و فعال مدنی","Poet and civil activist"
"شاعر و مسئول انجمن شعر و ادب ماسال","Poet and head of poetry and literature association"
"شاعر و نویسنده","Poet and Writer"
"شاعر، نمایشنامه نویس و کارگردان تاتر","Poet, Screen writer and Theater director"
"شهرک گویم شیراز","Goyim town of Shiraz"
"شهروند اسپانیا","Spain Citizen"
"شهروند اسپانیایی","Spanish Citizen"
"شهروند بهایی","Bahaee Citizen"
"عضو انجمن صنفی معلمان","A member of the teachers union"
"عضو تیم واکنش سریع هلال احمر کردستان","Member of the Kurdistan Red Crescent Rapid Response Team"
"عضو سابق تیم ملی دوچرخه‌سواری کوهستان ایران","Former member of Iran's national mountain biking team"
"عضو سابق شورای شهر اصفهان","Former member of Isfahan City Council"
"عضو کانون صنفی معلمان","A member of the teachers union"
"عضو گروه پدافند هوایی ارتش در آبدانان","A member of the army's air defense group in Abdanan"
"عضو مجمع یارسان","Member of the Yarsan Assembly"
"عضو هئیت مدیره انجمن فرهنگی – اجتماعی نوژین","Member of the Board of Directors of Nozhin Cultural-Social Association"
"عضو هیئت مدیره سندیکای شرکت واحد","Member of the board of directors of bus drivers syndicate"
"عضو هیئت مدیره کانون صنفی فرهنگیان","Member of the Board of Directors of Farhangian Union"
"عضو هیات دبیران کانون نویسندگان","Member of the Board of Directors of Writers' Association"
"عضو هیات مدیره کانون صنفی معلمان بوشهر","Member of the Board of Directors of the Bushehr Teachers Union"
"عکاس","Photographer"
"عکاس تبلیغاتی","Advertising photographer"
"عکاس خبرنگار","photojournalist"
"عکاس و فیلم بردار","Photographer and Cinematograph"
"علو م پزشکی دانشگاه آزاد","Medical Sciences of Azad University"
"علوم پزشکی شهید بهشتی","Shahid Beheshti Medical Sciences"
"فارغ التحصیل دانشگاه تهران","Graduated from Tehran University"
"فارغ التحصیل دانشگاه شریف- زندان فشافویه","Graduated from Sharif University - Fashafuye Prison"
"فارغ التحصیل طراحی پارچه از دانشگاه تهران","Graduated in textile design from Tehran University"
"فرانسوی","French"
"فرزند : احمد","Dad: Ahmed"
"فرزند: محمد امین","Dad: Mohammad Amin"
"فشافویه اکباتان","Fashafuye Ekbatan"
"فعال آزادی اینترنت","Internet freedom activist"
"فعال اجتماعی و سیاسی","Social activist"
"فعال بازار سرمایه","Capital market activist"
"فعال ترک","Turkish Activist"
"فعال ترک (آذربایجانی)","Turkish (Azerbaijani) activist"
"فعال ترک قشقایی","Qashqai Turkish activist"
"فعال حقوق بشر","Human Rights Activist"
"فعال حقوق حیوانات","Animal Activist"
"فعال حقوق کارگران","Labor rights activist"
"فعال حقوق کودک","Child Rights Activist"
"فعال حقوق کودک و فعال زنان","Child rights activist and women's activist"
"فعال حقوق کودکان","Child Rights Activist"
"فعال حقوق معلمان","Teacher rights activist"
"فعال حوزه گردشگری","Active in the field of tourism"
"فعال زیست‌محیطی","Environment Activist"
"فعال صنفی","Union activist"
"فعال صنفی معلمان","Teacher union activist"
"فعال فرهنگی","Cultural activist"
"فعال کارگری","Labor rights activist"
"فعال کارگری و از اعضای کانون کودکان مریوان","Labor activist and member of Marivan Children's Center"
"فعال کرد","Kurdish Activist"
"فعال کودک","Child Rights Activist"
"فعال محیط زیست","Environment Activist"
"فعال مدنی","Civil Activist"
"فعال مدنی و ادبی کُرد","Kurdish Civil and Literary activist"
"فعال مدنی و کنشگر محیط زیست","Civil activist and environmental activist"
"فعال مدنی و متخصص تکنولوژی","Civil Activist and IT expert"
"فعال یارسان","Yarsan(Religious minority) activist"
"فعال یارسان- بازداشت دوباره","Yarsan(Religious minority) activist, second arrest"
"فوتبالیست","Soccer player"
"فوتبالیست کرد","Kourdish Soccer player"
"فیلمبردار","Cameramen"
"فیلمساز","Film producer"
"فیلم‌ساز و فعال مدنی","Film producer and activist"
"فیمساز و فیلمبردار","film producer and Cameraman"
"قرچک","Gharchak"
"قهرمان ورزشی","Sport champion"
"قهرمان ووشو","Wushu Champion"
"کارشناس علوم آزمایشگاهی","Laboratory science expert"
"کارشناس مترجمی زبان - زندان قرچک","Language translator expert - Qarchak prison"
"کارگر","Worker"
"کارگر ساختمانی- تیر خورده و محل بازداشت نامعلوم است","construction worker- shot and arrested in an unknown place"
"کارگر نانوایی","Bakery worker"
"کارگردان  و هنرمند","Director and Artist"
"کارگردان تئاتر","Theater director"
"کارگردان و بازیگر تئاتر","Theater director and artist"
"کانون اصلاح و تربیت - ۱۹ ساله و بازداشت دوم","Youth Justice Custody Facility- 19 years old and second arrest"
"کانون وکلای فارس","Fars Bar Association"
"کلام خوان آیینی یارسان","Yaresan's ritual reciter"
"کمدین و هنرمند- زندان «ضیابر» صومعه‌سرا","Comedian and artist- Ziabar Prison, Soume Saraa"
"کنشگر دسترسی به اینترنت","Internet Activist"
"کودک","Minor"
"کوهنورد","Mountain Climber"
"گرافیست و مربی اسکی شیرازی","Graphist and Ski instructor"
"مادر نیلوفر لطفیان- زندان اطلاعات ساری","Niloufar Lotfian's mother- Saari Etelaat prison"
"مازندران","Mazandaran"
"ماموستا","Mamoosta(Religious scholars)"
"متخصص تکنولوژی","Technology expert"
"مترجم","Translator"
"مترجم زبان چینی","Chinese language translator"
"مترجم فیلمساز و انیماتور","Translator, filmmaker and animator"
"مترجم و مستندساز","Translator and documentary maker"
"مجسمه‌ساز و هنرمند","Sculptor and artist"
"مجمع مشورتی فعالان مدنی یارسان","Consultative Assembly of Yasaran Civil Activists"
"مداح","Religious singer"
"مدافع حقوق زندانیان و زنان بی‌سرپرست","Defender of the rights of prisoners and homeless women"
"مدرس موسیقی","Music teacher"
"مدل اهل ساری- زندان اطلاعات ساری","Model from Sari - Ettela'at prison of Sari"
"مدیر اجرایی گروه چارتار","Executive Director of Chartar Music Group"
"مدیر ارشد امنیت شبکه و تحلیل داده شرکت ایرانسل","Senior Manager of Network Security and Data Analysis of Irancell Company"
"مدیر روابط عمومی دیجی کالا","Public relations manager of Digikala"
"مدیر کانال خبری ایران تایمز و سایت مبین۲۴","Manager of Iran Times news channel and Mobeen24 site"
"مدیر مسئول پایگاه خبری جامعه آنلاین","COO for Jame'e Online news site"
"مربی سنگنوردی","Climbing instructor"
"مربی فدراسیون اسکیت","Skate Federation coach"
"مربی و بازیکن راگبی","Rugby coach and player"
"مربی والیبال-زندان خورین پاکدشت","Volleyball coach - Khorin Pakdasht prison"
"مربی یوگا","Yoga instructor"
"معلم","Teacher"
"معلم بازنشسته","Retired teacher"
"معلم پیانو و زبان آلمانی","Piano and German language teacher"
"معلم زبان کردی","Kurdish language teacher"
"معلم هنرستان باقر العلوم","Teacher of Baqer Al-Uloom Conservatory"
"معلم و عکاس هنری","Teacher and artistic photographer"
"مقابل دانشگاه شریف دستگیر شده","Arrested in front of Sharif University"
"منجم و همکار مجله نجوم","Astronomer and contributor to Nojoom magazine"
"موسسه آموزش عالی حکمت رضوی","Hikmat Razavi Institute of Higher Education"
"نانوا","Baker"
"نقاش","Painter"
"نوازنده گیتار","Guitarist"
"نوازنده نی","reed player"
"نوازنده و آهنگساز","Musician and composer"
"نوازنده و مدیر آموزشگاه موسیقی","Musician and director of music school"
"نوجوان","Teenager"
"نویسنده","Writer"
"نویسنده ، شاعر و کارگردان تئاتر","Writer, poet and theater director"
"نویسنده کودک و نوجوان","Children's and adolescent author"
"نویسنده و شاعر","Writer and poet"
"نویسنده و کارگردان تئاتر","Author and theater director"
"نویسنده و هنرمند","Writer and artist"
"هکر و فعال حقوق دیجیتال","Hacker and digital rights activist"
"همسر آیدا راستی","Ida Rasti's wife"
"هنرپیشه تئاتر - نازی فاطمه حبیبی","Theater actress - Nazi Fatima Habibi"
"هنرمند","Artist"
"هنرمند تئاتر","Theater artist"
"هنرمند گرافیست","Graphic artist"
"هنرمند نقاش و عکاس","Painter and photographer"
"هنرمند و بازیگر تئاتر","Theater artist and actor"
"هنرمند و بازیگر تئاتر، اکباتان","Theater artist and actor, Ekbatan"
"هنرمند و عکاس","Artist and photographer"
"هنرمند و گرافیست کرد","Kurdish artist and graphic designer"
"هنرمند و مجری سابق تلویزیون","Artist and former TV presenter"
"هنرمند و مجری سابق تلویزیون- اکباتان","Artist and former TV presenter - Ekbatan"
"هنرمند و نقاش","Artist and painter"
"هنرمند- نوازنده تنبک","Artist-musician of tanbak"
"هنرمند: رنگ سبز","Artist: Green color"
"ورزشکار","athlete"
"ورزشکار و مربی اسنوبرد","Snowboard athlete and coach"
"وکیل آباد","Vakil Abad Prison"
"ویراستار و مترجم","Editor and translator"
"یارسان","Yarsan(Religious minority)"
